[#587] Band of Brothers - Disc 6 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
[#860] Basketball Diaries, The (1995): Drama, DVD, English, <http://imdb.com/title/tt0112461/>
[#384] Batman (1989): Action, DVD, English, <http://www.imdb.com/title/tt0096895/>
[#386] Batman & Robin (1997): Action, DVD, English, <http://www.imdb.com/title/tt0118688/>
[#637] Batman Begins (2005): Action, DVD, English, <http://www.imdb.com/title/tt0372784/>
[#387] Batman Forever (1995): Action, DVD, English, <http://www.imdb.com/title/tt0112462/>
[#385] Batman Returns (1992): Action, DVD, English, <http://www.imdb.com/title/tt0103776/>
[#564] Battle of Algiers, The (1965): Drama, DVD, English, <http://www.imdb.com/title/tt0058946/>
[#1041] Battlestar Galactica - Season 1 - Disc 1 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1042] Battlestar Galactica - Season 1 - Disc 2 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1043] Battlestar Galactica - Season 1 - Disc 3 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1044] Battlestar Galactica - Season 1 - Disc 4 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1045] Battlestar Galactica - Season 1 - Disc 5 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1046] Battlestar Galactica - Season 2.0 - Disc 1 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1047] Battlestar Galactica - Season 2.0 - Disc 2 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1048] Battlestar Galactica - Season 2.0 - Disc 3 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1304] Battlestar Galactica - Season 2.5 - Disc 1 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1305] Battlestar Galactica - Season 2.5 - Disc 2 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1306] Battlestar Galactica - Season 2.5 - Disc 3 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1307] Battlestar Galactica - Season 3 - Disc 1 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1308] Battlestar Galactica - Season 3 - Disc 2 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1309] Battlestar Galactica - Season 3 - Disc 3 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1310] Battlestar Galactica - Season 3 - Disc 4 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1311] Battlestar Galactica - Season 3 - Disc 5 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#1312] Battlestar Galactica - Season 3 - Disc 6 (2004): Television, DVD, English, <http://www.imdb.com/title/tt0407362/>
[#56] Beach, The (2000): Drama, DVD, English, <http://us.imdb.com/Title?0163978>
[#34] Beautiful Mind, A (2001): Drama, DVD, English, <http://us.imdb.com/Title?0268978>
[#1116] Bee Movie (2007): Family, DVD, English, <http://www.imdb.com/title/tt0389790/>
[#741] Beetle Juice (1988): Comedy, DVD, English, <http://www.imdb.com/title/tt0094721/>
[#483] Before Sunrise (1995): Romance, DVD, English, <http://www.imdb.com/title/tt0112471/>
[#464] Before Sunset (2004): Romance, DVD, English, <http://www.imdb.com/title/tt0381681/>
[#49] Being John Malkovich (2000): Drama, DVD, English, <http://us.imdb.com/Title?0120601>
[#262] Bend It Like Beckham (2002): Comedy, DVD, English, <http://www.imdb.com/title/tt0286499/>
[#223] Best in Show (2001): Comedy, DVD, English, <http://us.imdb.com/Title?0218839>
[#275] Better Luck Tomorrow (2002): Drama, DVD, English, <http://www.imdb.com/title/tt0280477/>
[#975] Beverly Hills 90210 - First Season - Disc 1 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#976] Beverly Hills 90210 - First Season - Disc 2 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#971] Beverly Hills 90210 - First Season - Disc 3 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#972] Beverly Hills 90210 - First Season - Disc 4 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#973] Beverly Hills 90210 - First Season - Disc 5 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#974] Beverly Hills 90210 - First Season - Disc 6 (1990): Drama, DVD, English, <http://www.imdb.com/title/tt0098749/>
[#1115] Beverly Hills Cop (1984): Action, DVD, English, <http://www.imdb.com/title/tt0086960/>
[#886] Beverly Hills Cop II (1987): Action, DVD, English, <http://www.imdb.com/title/tt0092644/>
[#887] Beverly Hills Cop III (1994): Action, DVD, English, <http://www.imdb.com/title/tt0109254/>
[#1298] Big Bang Theory, The - Season 1 - Disc 1 (2007): Television, DVD, English, <http://www.imdb.com/title/tt0898266/>
[#1299] Big Bang Theory, The - Season 1 - Disc 2 (2007): Television, DVD, English, <http://www.imdb.com/title/tt0898266/>
[#1300] Big Bang Theory, The - Season 1 - Disc 3 (2007): Television, DVD, English, <http://www.imdb.com/title/tt0898266/>
[#412] Big Blue, The (1988): Drama, DVD, French, <http://www.imdb.com/title/tt0095250/>
[#406] Big Fish (2003): Drama, DVD, English, <http://www.imdb.com/title/tt0319061/>
[#72] Big Lebowski, The (1998): Comedy, DVD, English, <http://us.imdb.com/Title?0118715>
[#470] Bill Cosby: Himself (1983): Comedy, DVD, English, <http://www.imdb.com/title/tt0083652/>
[#1344] Bill Viola: I Do Not Know What it is I am Like (1986): Others, DVD, English, <http://www.imdb.com/title/tt0230316/>
[#1345] Bill Viola: The Passing (1991): Others, DVD, English, <http://www.imdb.com/title/tt0498555/>
[#129] Billy Elliot (2001): Comedy, DVD, English, <http://us.imdb.com/Title?0249462>
[#605] Black Hawk Down (2001): Action, DVD, English, <http://www.imdb.com/title/tt0265086/>
[#144] Blade Runner (1982): Action, DVD, English, <http://us.imdb.com/Title?0083658>
[#252] Blair Witch Project, The (1999): Horror, DVD, English, <http://www.imdb.com/title/tt0185937/>
[#872] Blood Diamond (2006): Drama, DVD, English, <http://imdb.com/title/tt0450259/>
[#367] Blood Simple (1984): Drama, DVD, English, <http://www.imdb.com/title/tt0086979/>
[#539] Bloodsport (1988): Action, DVD, English, <http://www.imdb.com/title/tt0092675/>
[#8] Blow (2001): Drama, DVD, English, <http://us.imdb.com/Title?0221027>
[#117] Blue (1996): Drama, DVD, French, <http://us.imdb.com/Title?0108394>
[#1025] Blues Brothers, The (1980): Comedy, DVD, English, <http://www.imdb.com/title/tt0080455/>
[#851] Boiler Room (2000): Thriller, DVD, English, <http://imdb.com/title/tt0181984/>
[#84] Bollywood Hollywood (2002): Drama, DVD, Hindi, <http://us.imdb.com/Title?0303785>
[#1317] Bolt (2008): Comedy, DVD, English, <http://www.imdb.com/title/tt0397892/>
[#432] Boondock Saints, The (1999): Action, DVD, English, <http://www.imdb.com/title/tt0144117/>
[#811] Borat (2006): Comedy, DVD, English, <http://www.imdb.com/title/tt0443453/>
[#1021] Borrowers, The (1973): Family, DVD, English, <http://www.imdb.com/title/tt0069817/>
[#97] Bossa Nova (2000): Drama, DVD, English, <http://us.imdb.com/Title?0180837>
[#191] Bourne Identity, The (2002): Action, DVD, English, <http://us.imdb.com/Title?0258463>
[#496] Bourne Supremacy, The (2004): Action, DVD, English, <http://www.imdb.com/title/tt0372183/>
[#1015] Bourne Ultimatum, The (2007): Action, DVD, English, <http://www.imdb.com/title/tt0440963/>
[#334] Bowling for Columbine (2002): Documentary, DVD, English, <http://www.imdb.com/title/tt0310793/>
[#659] Braveheart (1995): Action, DVD, English, <http://www.imdb.com/title/tt0112573/>
[#376] Brazil (1985): Comedy, DVD, English, <http://www.imdb.com/title/tt0088846/>
[#202] Bread and Tulips (2002): Drama, DVD, English, <http://us.imdb.com/Title?0237539>
[#1032] Breakfast at Tiffany's (1961): Romance, DVD, English, <http://www.imdb.com/title/tt0054698/>
[#896] Breakfast Club, The (1985): Drama, DVD, English, <http://www.imdb.com/title/tt0088847/>
[#780] Breaking Away (1979): Comedy, DVD, English, <http://www.imdb.com/title/tt0078902/>
[#854] Brian's Song (1971): Drama, DVD, English, <http://imdb.com/title/tt0068315/>
[#1191] Brick (2005): Thriller, DVD, English, <http://www.imdb.com/title/tt0393109/>
[#1355] Bride Wars (2009): Romance, DVD, English, <http://www.imdb.com/title/tt0901476/>
[#38] Bridge on the River Kwai, The (1957): Drama, DVD, English, <http://us.imdb.com/Title?0050212>
[#70] Bridget Jones's Diary (2000): Comedy, DVD, English, <http://us.imdb.com/Title?0243155>
[#604] Bridget Jones: The Edge of Reason (2004): Comedy, DVD, English, <http://www.imdb.com/title/tt0317198/>
[#693] Brokeback Mountain (2005): Drama, DVD, English, <http://www.imdb.com/title/tt0388795/>
[#1137] Bucket List, The (2007): Comedy, DVD, English, <http://www.imdb.com/title/tt0825232/>
[#106] Buena Vista Social Club (1999): Drama, DVD, Spanish, <http://us.imdb.com/Title?0186508>
[#82] Bullets Over Broadway (1994): Comedy, DVD, English, <http://us.imdb.com/Title?0109348>
[#175] Butch Cassidy and the Sundance Kid (1975): Drama, DVD, English, <http://us.imdb.com/Title?0064115>
[#697] Butterfly Effect, The (2004): Drama, DVD, English, <http://www.imdb.com/title/tt0289879/>
[#1226] Caddyshack (1980): Comedy, DVD, English, <http://www.imdb.com/title/tt0080487/>
[#1384] Calle 54 (2000): Unknown, DVD, English, <http://www.imdb.com/title/tt0260775/>
[#213] Canadian Bacon (1995): Comedy, DVD, English, <http://us.imdb.com/Title?0109370>
[#718] Capote (2005): Drama, DVD, English, <http://www.imdb.com/title/tt0379725/>
[#759] Cars (2006): Family, DVD, English, <http://www.imdb.com/title/tt0317219/>
